ISIN,Date,start_price,end_price,minimum_price,maximum_price,daily_traded_volume,end_price_mx,standard_deviation
AT000000STR1,2022-12-30,36.6,36.7,35.75,36.6,1666,700.236,0.07071067811865576
AT000000STR1,2022-12-31,36.6,36.7,35.75,36.6,1666,700.236,0.07071067811865576
AT00000FACC2,2022-12-30,8.05,8.57,7.87,8.05,5507,163.51559999999998,0.3676955262170044
AT00000FACC2,2022-12-31,8.05,8.57,7.87,8.05,5507,163.51559999999998,0.3676955262170044
AT0000606306,2022-12-30,14.51,15.0,13.87,14.91,67471,286.2,0.34648232278140845
AT0000606306,2022-12-31,14.51,15.0,13.87,14.91,67471,286.2,0.34648232278140845
AT0000609607,2022-12-30,11.74,12.06,11.7,11.74,265,230.10479999999998,0.2262741699796954
AT0000609607,2022-12-31,11.74,12.06,11.7,11.74,265,230.10479999999998,0.2262741699796954
AT0000644505,2022-12-30,98.2,99.2,96.1,98.3,237,1892.7359999999999,0.7071067811865476
AT0000644505,2022-12-31,98.2,99.2,96.1,98.3,237,1892.7359999999999,0.7071067811865476
AT0000652011,2022-12-30,32.17,32.4,30.66,32.7,20794,618.1919999999999,0.16263455967290372
AT0000652011,2022-12-31,32.17,32.4,30.66,32.7,20794,618.1919999999999,0.16263455967290372
AT0000730007,2022-12-30,40.32,39.0,39.1,40.32,2942,744.1199999999999,0.933380951166243
AT0000730007,2022-12-31,40.32,39.0,39.1,40.32,2942,744.1199999999999,0.933380951166243
AT0000743059,2022-12-30,44.36,43.1,41.98,44.36,16582,822.348,0.8909545442950485
AT0000743059,2022-12-31,44.36,43.1,41.98,44.36,16582,822.348,0.8909545442950485
AT0000746409,2022-12-30,104.0,108.4,103.3,104.0,30,2068.272,3.111269837220813
AT0000746409,2022-12-31,104.0,108.4,103.3,104.0,30,2068.272,3.111269837220813
AT0000785407,2022-12-30,29.4,28.8,29.4,30.25,2330,549.504,0.424264068711927
AT0000785407,2022-12-31,29.4,28.8,29.4,30.25,2330,549.504,0.424264068711927
AT0000785555,2022-12-30,27.45,26.9,26.9,27.45,130,513.252,0.38890872965260165
AT0000785555,2022-12-31,27.45,26.9,26.9,27.45,130,513.252,0.38890872965260165
AT0000821103,2022-12-30,7.3,7.24,7.22,7.3,1400,138.1392,0.042426406871192576
AT0000821103,2022-12-31,7.3,7.24,7.22,7.3,1400,138.1392,0.042426406871192576
AT0000827209,2022-12-30,0.944,0.992,0.944,1.015,11000,18.927359999999997,0.033941125496954314
AT0000827209,2022-12-31,0.944,0.992,0.944,1.015,11000,18.927359999999997,0.033941125496954314
AT0000831706,2022-12-30,26.82,26.78,26.1,26.82,806,510.9624,0.028284271247461298
AT0000831706,2022-12-31,26.82,26.78,26.1,26.82,806,510.9624,0.028284271247461298
AT0000922554,2022-12-30,41.7,40.7,41.7,41.7,10,776.556,0.7071067811865476
AT0000922554,2022-12-31,41.7,40.7,41.7,41.7,10,776.556,0.7071067811865476
AT0000937503,2022-12-30,28.9,29.46,28.8,29.24,3688,562.0967999999999,0.3959797974644682
AT0000937503,2022-12-31,28.9,29.46,28.8,29.24,3688,562.0967999999999,0.3959797974644682
AT0000938204,2022-12-30,166.6,166.8,165.4,166.8,354,3182.544,0.14142135623732158
AT0000938204,2022-12-31,166.6,166.8,165.4,166.8,354,3182.544,0.14142135623732158
AT0000946652,2022-12-30,37.75,36.85,36.85,37.75,122,703.098,0.6363961030678917
AT0000946652,2022-12-31,37.75,36.85,36.85,37.75,122,703.098,0.6363961030678917
AT0000969985,2022-12-30,47.85,48.7,47.0,48.4,7523,929.196,0.6010407640085664
AT0000969985,2022-12-31,47.85,48.7,47.0,48.4,7523,929.196,0.6010407640085664
AT0000A00Y78,2022-12-30,1.95,1.93,1.9,1.99,22020,36.8244,0.014142135623730963
AT0000A00Y78,2022-12-31,1.95,1.93,1.9,1.99,22020,36.8244,0.014142135623730963
AT0000A0E9W5,2022-12-30,13.88,14.08,13.85,14.27,31066,268.64639999999997,0.141421356237309
AT0000A0E9W5,2022-12-31,13.88,14.08,13.85,14.27,31066,268.64639999999997,0.141421356237309
AT0000A18XM4,2022-12-30,13.79,14.02,13.445,13.79,9849,267.5016,0.16263455967290624
AT0000A18XM4,2022-12-31,13.79,14.02,13.445,13.79,9849,267.5016,0.16263455967290624
AT0000A25NJ6,2022-12-30,17.6,17.8,17.6,18.0,1895,339.62399999999997,0.141421356237309
AT0000A25NJ6,2022-12-31,17.6,17.8,17.6,18.0,1895,339.62399999999997,0.141421356237309
AT0000APOST4,2022-12-30,36.1,36.5,35.25,36.1,976,696.42,0.282842712474618
AT0000APOST4,2022-12-31,36.1,36.5,35.25,36.1,976,696.42,0.282842712474618
AT0000BAWAG2,2022-12-30,46.48,47.64,46.26,46.48,891,908.9712,0.8202438661763978
AT0000BAWAG2,2022-12-31,46.48,47.64,46.26,46.48,891,908.9712,0.8202438661763978
AT0000KTMI02,2022-12-30,80.0,80.3,79.7,80.0,57,1532.1239999999998,0.21213203435596226
AT0000KTMI02,2022-12-31,80.0,80.3,79.7,80.0,57,1532.1239999999998,0.21213203435596226
AT000AGRANA3,2022-12-30,16.68,16.54,16.68,16.68,100,315.5832,0.09899494936611705
AT000AGRANA3,2022-12-31,16.68,16.54,16.68,16.68,100,315.5832,0.09899494936611705
ATFREQUENT09,2022-12-30,27.3,28.0,27.1,27.7,1342,534.24,0.49497474683058273
ATFREQUENT09,2022-12-31,27.3,28.0,27.1,27.7,1342,534.24,0.49497474683058273
AU0000066086,2022-12-30,5.54,5.52,5.54,5.54,355,105.32159999999999,0.014142135623731277
AU0000066086,2022-12-31,5.54,5.52,5.54,5.54,355,105.32159999999999,0.014142135623731277
BE0974293251,2022-12-30,56.8,55.17,55.75,56.9,4064,1052.6435999999999,1.1525840533340692
BE0974293251,2022-12-31,56.8,55.17,55.75,56.9,4064,1052.6435999999999,1.1525840533340692
BE0974320526,2022-12-30,35.94,36.99,35.65,36.26,896,705.7692,0.7424621202458779
BE0974320526,2022-12-31,35.94,36.99,35.65,36.26,896,705.7692,0.7424621202458779
BG9000011163,2022-12-30,0.5,0.4808,0.5,0.5,200,9.173663999999999,0.013576450198781708
